CHRONIC_CONDITION,TOTAL_MEMBERS,AVG_MEDIAN_OOP_COST,AVG_MEDIAN_CLAIMS,OOP_COST_PER_CLAIM
Hip/Pelvic Fracture,75492,326.27000000,35.00000000,9.322000000000
Atrial Fibrillation,771851,275.00000000,26.00000000,10.576923076923
Combined Cancer,870369,269.74000000,24.00000000,11.239166666667
Breast Cancer,339430,255.00000000,23.00000000,11.086956521739
Ischemic Heart Disease,1196877,240.00000000,25.00000000,9.600000000000
Colorectal Cancer,105761,220.00000000,25.00000000,8.800000000000
Acute Myocardial Infarction,98969,215.72000000,37.00000000,5.830270270270
Stroke,403347,200.00000000,31.00000000,6.451612903226
Rheumatoid Arthritis,2723099,157.00000000,23.00000000,6.826086956522
Osteoporosis,861050,140.12000000,21.00000000,6.672380952381
Heart Failure,799883,120.00000000,29.00000000,4.137931034483
Alzheimers Disease,133988,110.00000000,23.00000000,4.782608695652
Dementia,451740,100.00000000,25.00000000,4.000000000000
Chronic Kidney Disease,1455999,75.00000000,23.00000000,3.260869565217
Hyperlipidemia,5634309,73.05000000,16.00000000,4.565625000000
COPD,824325,70.00000000,25.00000000,2.800000000000
Hypertension,5850699,60.00000000,16.00000000,3.750000000000
Anemia,1786832,40.00000000,25.00000000,1.600000000000
Anxiety,2951303,30.00000000,19.00000000,1.578947368421
Diabetes,2990363,26.00000000,17.00000000,1.529411764706
Depression,2976405,20.00000000,20.00000000,1.000000000000
Asthma,1547117,15.00000000,17.00000000,0.882352941176
Obesity,2830268,0.00000000,17.00000000,0.000000000000
